Date,County,Duration,AcresBurned
2017-10,Shasta,71.0,37.0
2013-02,Inyo,5.0,406.0
2013-04,San Bernardino,3.0,30.0
2013-04,Madera,2.0,274.0
2013-05,Tehama,9.0,6965.0
2013-04,Napa,2.0,75.0
2013-05,Sonoma,3.0,125.0
2013-05,Riverside,4.0,3166.0
2013-05,San Benito,1.0,354.0
2013-05,Glenn,5.0,217.0
2013-05,San Bernardino,3.0,75.0
2013-05,Riverside,2.0,510.0
2013-05,Kern,7.0,4346.0
2013-05,Ventura,7.0,4346.0
2013-05,Riverside,2.0,40.0
2013-05,Los Angeles,2.0,712.0
2013-05,Madera,2.0,91.0
2013-05,San Luis Obispo,1.0,35.0
2013-05,Riverside,1.0,25.0
2013-05,Riverside,1.0,90.0
2013-05,San Joaquin,1.0,303.0
2013-05,San Diego,2.0,100.0
2013-05,San Diego,4.0,2781.0
2013-05,San Luis Obispo,1.0,50.0
2013-05,Riverside,1.0,124.0
2013-05,San Diego,6.0,1271.0
2013-05,Santa Barbara,4.0,1984.0
2013-05,Los Angeles,2.0,149.0
2013-05,Santa Barbara,2.0,170.0
2013-06,San Luis Obispo,3.0,500.0
2013-06,Tuolumne,1.0,100.0
2013-06,Butte,1.0,298.0
2013-06,Riverside,1.0,0.0
2013-06,Sonoma,5.0,28.0
2013-06,Solano,5.0,28.0
2013-06,Lake,5.0,28.0
2013-06,Colusa,5.0,28.0
2013-06,Merced,2.0,124.0
2013-06,Lake,2.0,30.0
2013-05,Los Angeles,10.0,30274.0
2013-06,Alameda,1.0,240.0
2013-06,Riverside,1.0,42.0
2013-06,Amador,2.0,96.0
2013-06,Madera,3.0,75.0
2013-06,Fresno,1.0,108.0
2013-06,Mariposa,11.0,1708.0
2013-06,Placer,1.0,237.0
2013-06,Fresno,1.0,35.0
2013-06,Riverside,2.0,40.0
2013-06,Madera,3.0,482.0
2013-06,Solano,1.0,124.0
2013-06,Fresno,3.0,46.0
2013-06,Fresno,1.0,150.0
2013-06,Lake,1.0,25.0
2013-06,San Bernardino,4.0,534.0
2013-07,Contra Costa,1.0,274.0
2013-06,Monterey,1.0,105.0
2013-07,Contra Costa,1.0,492.0
2013-07,Modoc,3.0,502.0
2013-07,Tehama,1.0,200.0
2013-07,Alameda,1.0,50.0
2013-07,Alameda,1.0,38.0
2013-07,San Diego,10.0,7055.0
2013-07,San Luis Obispo,1.0,85.0
2013-07,Yuba,1.0,73.0
2013-07,Shasta,1.0,43.0
2013-07,El Dorado,4.0,572.0
2013-07,Santa Clara,1.0,50.0
2013-07,Stanislaus,2.0,150.0
2013-07,Riverside,16.0,27531.0
2013-08,Humboldt,1.0,0.0
2013-07,San Bernardino,2.0,75.0
2013-07,San Diego,1.0,25.0
2013-07,Fresno,65.0,22992.0
2013-07,Siskiyou,32.0,14754.0
2013-08,Butte,4.0,92.0
2013-07,Riverside,2.0,150.0
2013-08,Riverside,1.0,60.0
2013-07,Kern,3.0,612.0
2013-07,Mendocino,1.0,45.0
2013-07,Kern,4.0,712.0
2013-07,Tehama,1.0,195.0
2013-07,Sonoma,1.0,158.0
2013-07,Sacramento,1.0,163.0
2013-07,El Dorado,1.0,163.0
2013-07,Riverside,2.0,40.0
2013-07,Riverside,1.0,15.0
2013-07,Calaveras,2.0,31.0
2013-08,Tuolumne,10.0,1070.0
2013-08,Riverside,5.0,1383.0
2013-08,Riverside,3.0,60.0
2013-08,Lake,1.0,38.0
2013-08,Riverside,6.0,20292.0
2013-08,Humboldt,3.0,12503.0
2013-08,Siskiyou,1.0,50.0
2013-08,El Dorado,1.0,116.0
2013-08,San Bernardino,6.0,243.0
2013-08,Shasta,1.0,27.0
2013-08,Butte,7.0,2462.0
2013-08,Placer,21.0,27440.0
2013-08,Lassen,4.0,97.0
2013-08,Riverside,1.0,40.0
2013-08,Lake,3.0,70.0
2013-08,Calaveras,3.0,46.0
2013-08,San Bernardino,2.0,110.0
2013-09,Shasta,7.0,8073.0
2013-08,Plumas,8.0,513.0
2013-08,Kern,7.0,794.0
2013-08,Shasta,5.0,196.0
2013-09,San Bernardino,7.0,200.0
2013-08,Tehama,7.0,11429.0
2013-08,San Bernardino,1.0,413.0
2013-08,Tulare,32.0,2060.0
2013-08,El Dorado,1.0,38.0
2013-08,San Bernardino,7.0,97.0
2013-09,San Mateo,1.0,41.0
2013-09,Contra Costa,7.0,3111.0
2013-09,Tulare,17.0,134.0
2013-09,San Bernardino,2.0,73.0
2013-09,Los Angeles,6.0,268.0
2013-09,Modoc,20.0,97.0
2013-08,Nevada,1.0,52.0
2013-08,Butte,2.0,80.0
2013-09,Modoc,-1.0,68.0
2013-08,Tuolumne,21.0,257314.0
2013-09,San Diego,4.0,263.0
2013-09,Lake,1.0,30.0
2013-09,San Luis Obispo,1.0,94.0
2013-09,Mendocino,2.0,98.0
2013-10,Napa,2.0,376.0
2013-10,Sonoma,2.0,159.0
2013-10,San Diego,5.0,2236.0
2013-10,Butte,2.0,305.0
2013-10,Orange,4.0,40.0
2013-11,Yolo,1.0,163.0
2013-11,Shasta,1.0,33.0
2013-11,San Luis Obispo,2.0,51.0
2013-11,Lake,3.0,120.0
2013-11,Napa,3.0,190.0
2013-11,Ventura,2.0,64.0
2013-11,Mendocino,1.0,82.0
2013-11,Sonoma,6.0,3505.0
2013-11,Lake,2.0,50.0
2013-11,Lake,2.0,23.0
2013-12,Santa Clara,1.0,40.0
2014-01,Tehama,9.0,865.0
2014-01,Los Angeles,12.0,1952.0
2014-01,Humboldt,5.0,333.0
2014-01,Fresno,2.0,106.0
2014-03,San Diego,4.0,125.0
2014-03,Monterey,3.0,400.0
2014-03,Riverside,2.0,57.0
2014-04,Inyo,3.0,113.0
2014-04,San Bernardino,6.0,2143.0
2014-05,San Diego,2.0,29.0
2014-05,San Diego,5.0,1548.0
2014-04,Monterey,2.0,75.0
2014-05,Santa Barbara,7.0,632.0
2014-05,San Diego,6.0,5367.0
2014-05,San Diego,5.0,1457.0
2014-05,San Diego,2.0,380.0
2014-05,Shasta,2.0,50.0
2014-05,San Diego,9.0,1995.0
2014-05,San Diego,4.0,600.0
2014-05,Lake,2.0,175.0
2014-06,Tuolumne,2.0,487.0
2014-06,Tuolumne,2.0,269.0
2014-06,Fresno,-1.0,25.0
2014-06,Fresno,3.0,40.0
2014-06,Solano,2.0,70.0
2014-06,Mariposa,4.0,130.0
2014-06,Kern,8.0,3895.0
2014-06,Tehama,1.0,225.0
2014-06,Calaveras,2.0,120.0
2014-06,Calaveras,3.0,85.0
2014-07,Napa,9.0,4300.0
2014-07,Lake,9.0,4300.0
2014-07,El Dorado,1.0,30.0
2014-07,Shasta,16.0,12661.0
2014-07,Yolo,9.0,6488.0
2014-07,Modoc,5.0,1469.0
2014-07,Modoc,3.0,1651.0
2014-07,Trinity,3.0,15.0
2014-07,San Diego,4.0,217.0
2014-07,Contra Costa,2.0,80.0
2014-07,Shasta,4.0,75.0
2014-07,San Luis Obispo,2.0,47.0
2014-07,Nevada,2.0,38.0
2014-07,Shasta,2.0,143.0
2014-07,Kern,11.0,1680.0
2014-07,Butte,3.0,72.0
2014-07,El Dorado,9.0,4240.0
2014-07,Amador,9.0,4240.0
2014-07,Shasta,17.0,39736.0
2014-07,Modoc,15.0,13153.0
2014-07,Siskiyou,20.0,35302.0
2014-07,Shasta,26.0,32416.0
2014-07,Shasta,108.0,6258.0
2014-07,Siskiyou,19.0,5503.0
2014-08,Shasta,1.0,25.0
2014-08,Madera,109.0,10.0
2014-08,Madera,8.0,612.0
2014-08,Modoc,2.0,101.0
2014-08,Siskiyou,4.0,0.0
2014-08,San Diego,2.0,20.0
2014-08,Los Angeles,121.0,190.0
2014-08,Los Angeles,118.0,274.0
2014-08,Nevada,2.0,84.0
2014-08,Kern,10.0,4045.0
2014-08,Trinity,5.0,580.0
2014-09,Shasta,7.0,1375.0
2014-09,Tuolumne,2.0,70.0
2014-09,Humboldt,4.0,210.0
2014-09,Napa,5.0,27.0
2014-10,Mariposa,6.0,311.0
2014-09,El Dorado,27.0,97717.0
2015-02,Siskiyou,7.0,200.0
2014-09,Orange,11.0,968.0
2014-09,Nevada,6.0,247.0
2014-09,Madera,9.0,320.0
2014-09,Siskiyou,27.0,516.0
2014-10,San Bernardino,2.0,48.0
2014-09,El Dorado,4.0,94.0
2014-09,El Dorado,1.0,20.0
2015-06,San Diego,1.0,80.0
2015-04,Plumas,6.0,137.0
2015-04,Riverside,7.0,1049.0
2015-05,Merced,1.0,275.0
2015-06,Humboldt,2.0,20.0
2015-06,Trinity,20.0,1542.0
2015-06,Kern,1.0,67.0
2015-06,Napa,2.0,38.0
2015-06,Amador,2.0,60.0
2015-06,Tehama,1.0,55.0
2015-06,San Diego,3.0,171.0
2015-06,San Bernardino,46.0,31359.0
2015-06,Yuba,5.0,158.0
2015-06,Madera,8.0,920.0
2015-06,Madera,3.0,135.0
2015-06,Lassen,2.0,60.0
2015-06,Alpine,4.0,0.0
2015-06,Los Angeles,3.0,415.0
2015-06,San Bernardino,5.0,100.0
2015-06,Napa,2.0,19.0
2015-06,Mendocino,2.0,35.0
2015-07,Tehama,1.0,170.0
2015-07,Mendocino,2.0,23.0
2015-07,Solano,3.0,150.0
2015-07,Solano,1.0,40.0
2015-07,Shasta,2.0,18.0
