Date,County,Precip
2013-01,Alameda,0.81
2013-02,Alameda,0.47
2013-03,Alameda,0.63
2013-04,Alameda,0.69
2013-05,Alameda,0.07
2013-06,Alameda,0.12
2013-07,Alameda,0.0
2013-08,Alameda,0.0
2013-09,Alameda,0.54
2013-10,Alameda,0.01
2013-11,Alameda,1.31
2013-12,Alameda,0.43
2014-01,Alameda,0.11
2014-02,Alameda,3.83
2014-03,Alameda,2.02
2014-04,Alameda,1.36
2014-05,Alameda,0.02
2014-06,Alameda,0.01
2014-07,Alameda,0.01
2014-08,Alameda,0.01
2014-09,Alameda,0.39
2014-10,Alameda,0.47
2014-11,Alameda,1.75
2014-12,Alameda,9.9
2015-01,Alameda,0.01
2015-02,Alameda,2.25
2015-03,Alameda,0.26
2015-04,Alameda,1.15
2015-05,Alameda,0.37
2015-06,Alameda,0.27
2015-07,Alameda,0.01
2015-08,Alameda,0.02
2015-09,Alameda,0.04
2015-10,Alameda,0.08
2015-11,Alameda,2.41
2015-12,Alameda,3.52
2016-01,Alameda,5.65
2016-02,Alameda,0.84
2016-03,Alameda,5.25
2016-04,Alameda,1.94
2016-05,Alameda,0.24
2016-06,Alameda,0.0
2016-07,Alameda,0.0
2016-08,Alameda,0.0
2016-09,Alameda,0.0
2016-10,Alameda,3.65
2016-11,Alameda,1.48
2016-12,Alameda,3.5
2017-01,Alameda,9.38
2017-02,Alameda,7.41
2017-03,Alameda,2.65
2017-04,Alameda,2.5
2017-05,Alameda,0.03
2017-06,Alameda,0.04
2017-07,Alameda,0.0
2017-08,Alameda,0.01
2017-09,Alameda,0.06
2017-10,Alameda,0.21
2017-11,Alameda,2.58
2017-12,Alameda,0.1
2018-01,Alameda,4.28
2018-02,Alameda,0.57
2018-03,Alameda,4.39
2018-04,Alameda,2.44
2018-05,Alameda,0.02
2018-06,Alameda,0.0
2018-07,Alameda,0.0
2018-08,Alameda,0.0
2018-09,Alameda,0.0
2018-10,Alameda,0.14
2018-11,Alameda,2.71
2018-12,Alameda,2.02
2019-01,Alameda,3.73
2019-02,Alameda,6.83
2019-03,Alameda,4.11
2019-04,Alameda,0.47
2019-05,Alameda,2.25
2019-06,Alameda,0.0
2019-07,Alameda,0.0
2019-08,Alameda,0.0
2019-09,Alameda,0.19
2019-10,Alameda,0.0
2019-11,Alameda,1.09
2019-12,Alameda,3.62
2020-01,Alameda,1.55
2020-02,Alameda,0.0
2020-03,Alameda,2.61
2020-04,Alameda,1.54
2020-05,Alameda,0.62
2020-06,Alameda,0.0
2020-07,Alameda,0.0
2020-08,Alameda,0.07
2020-09,Alameda,0.0
2020-10,Alameda,0.0
2020-11,Alameda,0.37
2020-12,Alameda,1.66
2021-01,Alameda,3.15
2021-02,Alameda,0.98
2021-03,Alameda,1.36
2021-04,Alameda,0.1
2021-05,Alameda,0.01
2021-06,Alameda,0.0
2021-07,Alameda,0.0
2021-08,Alameda,0.0
2021-09,Alameda,0.01
2021-10,Alameda,4.97
2013-01,Alpine,1.22
2013-02,Alpine,0.37
2013-03,Alpine,2.56
2013-04,Alpine,1.63
2013-05,Alpine,2.19
2013-06,Alpine,0.38
2013-07,Alpine,0.33
2013-08,Alpine,0.46
2013-09,Alpine,0.89
2013-10,Alpine,1.01
2013-11,Alpine,0.91
2013-12,Alpine,1.6
2014-01,Alpine,2.98
2014-02,Alpine,8.22
2014-03,Alpine,3.45
2014-04,Alpine,1.54
2014-05,Alpine,1.47
2014-06,Alpine,0.1
2014-07,Alpine,1.42
2014-08,Alpine,1.15
2014-09,Alpine,1.52
2014-10,Alpine,0.76
2014-11,Alpine,2.33
2014-12,Alpine,4.44
2015-01,Alpine,0.22
2015-02,Alpine,5.53
2015-03,Alpine,0.62
2015-04,Alpine,2.52
2015-05,Alpine,2.99
2015-06,Alpine,1.0
2015-07,Alpine,1.81
2015-08,Alpine,0.23
2015-09,Alpine,0.39
2015-10,Alpine,2.4
2015-11,Alpine,4.68
2015-12,Alpine,7.97
2016-01,Alpine,8.29
2016-02,Alpine,1.82
2016-03,Alpine,6.74
2016-04,Alpine,3.1
2016-05,Alpine,1.67
2016-06,Alpine,0.05
2016-07,Alpine,0.01
2016-08,Alpine,0.12
2016-09,Alpine,0.32
2016-10,Alpine,8.87
2016-11,Alpine,1.93
2016-12,Alpine,6.71
2017-01,Alpine,22.13
2017-02,Alpine,15.58
2017-03,Alpine,4.79
2017-04,Alpine,6.95
2017-05,Alpine,1.44
2017-06,Alpine,0.7
2017-07,Alpine,0.04
2017-08,Alpine,1.34
2017-09,Alpine,2.39
2017-10,Alpine,0.57
2017-11,Alpine,7.7
2017-12,Alpine,0.61
2018-01,Alpine,3.65
2018-02,Alpine,1.56
2018-03,Alpine,12.57
2018-04,Alpine,3.18
2018-05,Alpine,1.68
2018-06,Alpine,0.02
2018-07,Alpine,0.7
2018-08,Alpine,0.11
2018-09,Alpine,0.1
2018-10,Alpine,0.76
2018-11,Alpine,5.16
2018-12,Alpine,2.71
2019-01,Alpine,8.17
2019-02,Alpine,15.25
2019-03,Alpine,6.43
2019-04,Alpine,1.74
2019-05,Alpine,3.12
2019-06,Alpine,0.55
2019-07,Alpine,0.55
2019-08,Alpine,0.03
2019-09,Alpine,0.87
2019-10,Alpine,0.08
2019-11,Alpine,2.61
2019-12,Alpine,7.81
2020-01,Alpine,1.86
2020-02,Alpine,0.25
2020-03,Alpine,5.28
2020-04,Alpine,3.12
2020-05,Alpine,1.43
2020-06,Alpine,0.66
2020-07,Alpine,0.57
2020-08,Alpine,0.6
2020-09,Alpine,0.22
2020-10,Alpine,0.04
2020-11,Alpine,3.42
2020-12,Alpine,2.98
2021-01,Alpine,6.12
2021-02,Alpine,2.2
2021-03,Alpine,2.98
2021-04,Alpine,0.9
2021-05,Alpine,0.99
2021-06,Alpine,0.65
2021-07,Alpine,1.02
2021-08,Alpine,0.26
2021-09,Alpine,0.19
2021-10,Alpine,8.38
2013-01,Amador,1.34
2013-02,Amador,0.71
2013-03,Amador,2.89
2013-04,Amador,1.56
2013-05,Amador,1.0
2013-06,Amador,0.74
2013-07,Amador,0.02
2013-08,Amador,0.02
2013-09,Amador,1.18
2013-10,Amador,0.28
2013-11,Amador,1.7
2013-12,Amador,0.81
2014-01,Amador,1.45
2014-02,Amador,8.87
2014-03,Amador,4.66
2014-04,Amador,2.6
2014-05,Amador,0.65
2014-06,Amador,0.03
2014-07,Amador,0.13
2014-08,Amador,0.07
2014-09,Amador,0.93
2014-10,Amador,0.72
2014-11,Amador,3.2
2014-12,Amador,7.98
2015-01,Amador,0.14
2015-02,Amador,5.36
2015-03,Amador,0.83
2015-04,Amador,3.09
2015-05,Amador,1.39
2015-06,Amador,0.27
2015-07,Amador,0.18
2015-08,Amador,0.02
2015-09,Amador,0.07
2015-10,Amador,1.89
2015-11,Amador,5.26
2015-12,Amador,8.16
2016-01,Amador,9.96
2016-02,Amador,1.61
2016-03,Amador,7.88
2016-04,Amador,3.38
2016-05,Amador,0.87
2016-06,Amador,0.01
2016-07,Amador,0.0
2016-08,Amador,0.02
2016-09,Amador,0.05
2016-10,Amador,7.44
2016-11,Amador,3.49
2016-12,Amador,6.3
2017-01,Amador,18.68
2017-02,Amador,16.23
2017-03,Amador,4.71
2017-04,Amador,5.82
2017-05,Amador,0.74
2017-06,Amador,0.69
2017-07,Amador,0.0
2017-08,Amador,0.14
2017-09,Amador,0.41
2017-10,Amador,0.53
2017-11,Amador,7.35
2017-12,Amador,0.64
2018-01,Amador,5.62
2018-02,Amador,1.0
2018-03,Amador,12.02
2018-04,Amador,4.16
2018-05,Amador,0.87
2018-06,Amador,0.01
2018-07,Amador,0.04
2018-08,Amador,0.02
2018-09,Amador,0.01
2018-10,Amador,0.6
2018-11,Amador,6.51
2018-12,Amador,3.18
2019-01,Amador,8.17
2019-02,Amador,14.48
2019-03,Amador,7.18
2019-04,Amador,2.14
2019-05,Amador,5.69
2019-06,Amador,0.08
2019-07,Amador,0.03
2019-08,Amador,0.0
2019-09,Amador,1.13
2019-10,Amador,0.03
2019-11,Amador,2.08
2019-12,Amador,7.64
2020-01,Amador,2.4
2020-02,Amador,0.06
2020-03,Amador,7.1
2020-04,Amador,3.43
2020-05,Amador,2.24
2020-06,Amador,0.15
2020-07,Amador,0.03
2020-08,Amador,0.04
2020-09,Amador,0.05
2020-10,Amador,0.01
2020-11,Amador,2.04
2020-12,Amador,2.77
2021-01,Amador,6.55
2021-02,Amador,2.67
2021-03,Amador,3.28
2021-04,Amador,0.35
2021-05,Amador,0.23
2021-06,Amador,0.15
2021-07,Amador,0.06
2021-08,Amador,0.01
2021-09,Amador,0.17
2021-10,Amador,7.73
2013-01,Butte,1.19
2013-02,Butte,0.87
2013-03,Butte,2.57
2013-04,Butte,0.93
2013-05,Butte,0.76
2013-06,Butte,1.42
2013-07,Butte,0.0
2013-08,Butte,0.03
2013-09,Butte,1.26
2013-10,Butte,0.45
2013-11,Butte,2.22
2013-12,Butte,0.49
2014-01,Butte,0.84
2014-02,Butte,10.04
2014-03,Butte,9.06
2014-04,Butte,1.36
2014-05,Butte,0.51
2014-06,Butte,0.0
2014-07,Butte,0.03
2014-08,Butte,0.49
2014-09,Butte,0.72
2014-10,Butte,1.88
2014-11,Butte,4.36
2014-12,Butte,14.43
2015-01,Butte,0.21
2015-02,Butte,4.58
2015-03,Butte,0.58
2015-04,Butte,2.24
2015-05,Butte,0.29
2015-06,Butte,0.22
2015-07,Butte,0.06
2015-08,Butte,0.07
2015-09,Butte,0.27
2015-10,Butte,0.64
2015-11,Butte,3.8
2015-12,Butte,7.78
2016-01,Butte,14.46
2016-02,Butte,1.94
2016-03,Butte,12.92
2016-04,Butte,1.92
2016-05,Butte,0.99
2016-06,Butte,0.52
2016-07,Butte,0.0
2016-08,Butte,0.0
2016-09,Butte,0.01
2016-10,Butte,9.1
2016-11,Butte,4.22
2016-12,Butte,9.88
2017-01,Butte,16.25
2017-02,Butte,15.79
2017-03,Butte,5.65
2017-04,Butte,6.4
2017-05,Butte,0.38
2017-06,Butte,0.92
2017-07,Butte,0.0
2017-08,Butte,0.01
2017-09,Butte,0.41
2017-10,Butte,0.7
2017-11,Butte,9.49
2017-12,Butte,0.41
2018-01,Butte,6.19
2018-02,Butte,0.62
2018-03,Butte,10.05
2018-04,Butte,5.39
2018-05,Butte,0.52
2018-06,Butte,0.02
2018-07,Butte,0.01
2018-08,Butte,0.0
2018-09,Butte,0.0
2018-10,Butte,0.99
2018-11,Butte,6.08
2018-12,Butte,4.64
2019-01,Butte,12.01
2019-02,Butte,19.53
2019-03,Butte,9.06
2019-04,Butte,2.64
2019-05,Butte,5.13
2019-06,Butte,0.12
2019-07,Butte,0.0
2019-08,Butte,0.01
2019-09,Butte,1.54
2019-10,Butte,0.06
2019-11,Butte,1.44
2019-12,Butte,8.56
2020-01,Butte,4.06
2020-02,Butte,0.04
2020-03,Butte,3.53
2020-04,Butte,1.92
2020-05,Butte,3.64
2020-06,Butte,0.22
2020-07,Butte,0.01
2020-08,Butte,0.04
2020-09,Butte,0.0
2020-10,Butte,0.0
2020-11,Butte,2.35
2020-12,Butte,3.35
2021-01,Butte,5.03
2021-02,Butte,3.38
2021-03,Butte,4.22
2021-04,Butte,0.51
2021-05,Butte,0.05
2021-06,Butte,0.06
2021-07,Butte,0.0
2021-08,Butte,0.0
2021-09,Butte,0.27
2021-10,Butte,11.02
2013-01,Calaveras,1.29
2013-02,Calaveras,0.83
2013-03,Calaveras,2.75
2013-04,Calaveras,1.54
2013-05,Calaveras,0.6
2013-06,Calaveras,0.59
2013-07,Calaveras,0.01
2013-08,Calaveras,0.0
2013-09,Calaveras,0.76
2013-10,Calaveras,0.31
2013-11,Calaveras,1.64
2013-12,Calaveras,0.82
2014-01,Calaveras,1.31
2014-02,Calaveras,8.13
2014-03,Calaveras,4.52
2014-04,Calaveras,2.37
2014-05,Calaveras,0.63
2014-06,Calaveras,0.01
2014-07,Calaveras,0.06
2014-08,Calaveras,0.04
2014-09,Calaveras,0.87
2014-10,Calaveras,0.68
2014-11,Calaveras,3.27
2014-12,Calaveras,7.67
2015-01,Calaveras,0.13
2015-02,Calaveras,5.26
2015-03,Calaveras,0.64
2015-04,Calaveras,2.64
2015-05,Calaveras,1.18
2015-06,Calaveras,0.2
2015-07,Calaveras,0.08
2015-08,Calaveras,0.01
2015-09,Calaveras,0.04
2015-10,Calaveras,1.8
2015-11,Calaveras,5.26
2015-12,Calaveras,8.02
2016-01,Calaveras,9.56
2016-02,Calaveras,1.4
2016-03,Calaveras,8.43
2016-04,Calaveras,3.09
2016-05,Calaveras,0.58
2016-06,Calaveras,0.01
2016-07,Calaveras,0.0
2016-08,Calaveras,0.0
2016-09,Calaveras,0.03
2016-10,Calaveras,7.31
2016-11,Calaveras,3.69
2016-12,Calaveras,6.39
2017-01,Calaveras,17.72
2017-02,Calaveras,15.63
2017-03,Calaveras,4.18
2017-04,Calaveras,5.63
2017-05,Calaveras,0.54
2017-06,Calaveras,0.39
2017-07,Calaveras,0.0
2017-08,Calaveras,0.04
2017-09,Calaveras,0.18
2017-10,Calaveras,0.54
2017-11,Calaveras,6.24
2017-12,Calaveras,0.46
2018-01,Calaveras,5.28
2018-02,Calaveras,0.83
2018-03,Calaveras,11.27
2018-04,Calaveras,4.16
2018-05,Calaveras,0.54
2018-06,Calaveras,0.0
2018-07,Calaveras,0.02
2018-08,Calaveras,0.0
2018-09,Calaveras,0.01
2018-10,Calaveras,0.66
2018-11,Calaveras,7.1
2018-12,Calaveras,2.76
2019-01,Calaveras,7.7
2019-02,Calaveras,14.16
2019-03,Calaveras,7.91
2019-04,Calaveras,1.83
2019-05,Calaveras,5.4
2019-06,Calaveras,0.04
2019-07,Calaveras,0.01
2019-08,Calaveras,0.0
